REGION,YEAR,week,UNWEIGHTED ILI
Illinois,2020,8,6.22712
Illinois,2020,9,5.55436
Illinois,2020,10,5.51053
Illinois,2020,11,6.20876
Illinois,2020,12,7.09147
Illinois,2020,13,5.10113
Illinois,2020,14,4.01622
Illinois,2020,15,2.86695
Illinois,2020,16,2.39922
Illinois,2020,17,2.02883
Illinois,2020,18,1.77896
Illinois,2020,19,1.45851
Illinois,2020,20,1.19327
Illinois,2020,21,0.960461
Illinois,2020,22,0.781639
Illinois,2020,23,0.64515
Illinois,2020,24,0.531636
Illinois,2020,25,0.391549
Illinois,2020,26,0.637468
Illinois,2020,27,0.633554
Illinois,2020,28,0.73029
Illinois,2020,29,0.72909
Illinois,2020,30,0.79817
Illinois,2020,31,0.887013
Illinois,2020,32,0.990406
Illinois,2020,33,0.76941
Illinois,2020,34,0.89657
Illinois,2020,35,0.776458
Illinois,2020,36,0.68782
Illinois,2020,37,0.655539
Illinois,2020,38,0.645223
Illinois,2020,39,0.733177
Illinois,2020,40,0.823758
Illinois,2020,41,0.983943
Illinois,2020,42,0.862162
Illinois,2020,43,1.01195
Illinois,2020,44,1.21673
Illinois,2020,45,1.48618
Illinois,2020,46,1.44305
Illinois,2020,47,1.39575
Illinois,2020,48,1.23645
Illinois,2020,49,1.00892
Illinois,2020,50,0.987136
Illinois,2020,51,0.901844
Illinois,2020,52,0.819472
Illinois,2020,53,0.89392
Illinois,2021,1,0.805435
Illinois,2021,2,0.76731
Illinois,2021,3,0.70944
Illinois,2021,4,0.650296
Illinois,2021,5,0.643881
Illinois,2021,6,0.487682
Illinois,2021,7,0.463383
Illinois,2021,8,0.467835
Illinois,2021,9,0.438702
Illinois,2021,10,0.450006
Illinois,2021,11,0.477721
Illinois,2021,12,0.573654
Illinois,2021,13,0.576674
Illinois,2021,14,0.743625
Illinois,2021,15,0.646482
Illinois,2021,16,0.79875
Illinois,2021,17,0.755096
Illinois,2021,18,0.673228
Illinois,2021,19,0.819467
Illinois,2021,20,0.769395
Illinois,2021,21,0.703537
Illinois,2021,22,0.825923
Illinois,2021,23,0.792586
Illinois,2021,24,0.740888
Illinois,2021,25,0.818186
Illinois,2021,26,0.796784
Illinois,2021,27,0.904422
Illinois,2021,28,0.938297
Illinois,2021,29,0.98662
Illinois,2021,30,1.08829
Illinois,2021,31,1.16821
Illinois,2021,32,1.1868
Illinois,2021,33,1.26182
Illinois,2021,34,1.28167
Illinois,2021,35,1.36244
Illinois,2021,36,1.41146
Illinois,2021,37,1.33076
Illinois,2021,38,1.24349
Illinois,2021,39,1.27059
Illinois,2021,40,0.997693
Illinois,2021,41,1.01158
Illinois,2021,42,1.04714
Illinois,2021,43,1.07399
Illinois,2021,44,1.13671
Illinois,2021,45,1.20989
Illinois,2021,46,1.43908
Illinois,2021,47,1.75742
Illinois,2021,48,1.74822
Illinois,2021,49,2.01992
Illinois,2021,50,2.2727
Illinois,2021,51,3.07748
Illinois,2021,52,3.43731
Illinois,2022,1,3.474
Illinois,2022,2,2.35864
Illinois,2022,3,1.89885
Illinois,2022,4,1.47367
Illinois,2022,5,1.10343
Illinois,2022,6,0.974622
Illinois,2022,7,1.1418
Illinois,2022,8,1.38264
Illinois,2022,9,1.41645
Illinois,2022,10,1.65025
Illinois,2022,11,1.89012
Illinois,2022,12,2.0232
Illinois,2022,13,2.22576
Illinois,2022,14,2.23898
Illinois,2022,15,2.44952
Illinois,2022,16,2.54072
Illinois,2022,17,2.47715
Illinois,2022,18,2.38061
Illinois,2022,19,2.45281
Illinois,2022,20,2.18909
Illinois,2022,21,2.22038
Illinois,2022,22,2.19406
Illinois,2022,23,1.87852
Illinois,2022,24,1.56826
Illinois,2022,25,1.43728
Illinois,2022,26,1.45907
Illinois,2022,27,1.46666
Illinois,2022,28,1.45841
Illinois,2022,29,1.56495
Illinois,2022,30,1.50575
Illinois,2022,31,1.54931
Illinois,2022,32,1.53029
Illinois,2022,33,1.43859
Illinois,2022,34,1.74856
Illinois,2022,35,2.01771
Illinois,2022,36,2.07513
Illinois,2022,37,1.84541
Illinois,2022,38,1.96208
Illinois,2022,39,2.01751
Illinois,2022,40,2.54323
Illinois,2022,41,2.70207
Illinois,2022,42,3.03269
Illinois,2022,43,3.46368
Illinois,2022,44,4.19095
Illinois,2022,45,4.31
Illinois,2022,46,4.84578
Illinois,2022,47,6.56306
Illinois,2022,48,6.29991
Illinois,2022,49,5.88178
Illinois,2022,50,6.13549
Illinois,2022,51,4.96167
Illinois,2022,52,3.78811
Illinois,2023,1,2.62565
Illinois,2023,2,2.09415
Illinois,2023,3,1.89547
Illinois,2023,4,1.99596
Illinois,2023,5,2.04028
Illinois,2023,6,2.12108
Illinois,2023,7,2.27946
Illinois,2023,8,2.37307
Illinois,2023,9,2.32652
Illinois,2023,10,2.33285
Illinois,2023,11,2.35498
Illinois,2023,12,2.28351
Illinois,2023,13,1.96617
Illinois,2023,14,1.73583
Illinois,2023,15,1.54342
Illinois,2023,16,1.44635
Illinois,2023,17,1.35151
Illinois,2023,18,1.26892
Illinois,2023,19,1.12859
Illinois,2023,20,1.01594
Illinois,2023,21,1.21357
Illinois,2023,22,1.09793
Illinois,2023,23,0.866983
Illinois,2023,24,0.766184
Illinois,2023,25,0.676887
Illinois,2023,26,0.6118
Illinois,2023,27,0.643861
Illinois,2023,28,0.543417
Illinois,2023,29,0.588762
Illinois,2023,30,0.627935
Illinois,2023,31,0.806555
Illinois,2023,32,0.751975
Illinois,2023,33,0.832987
Illinois,2023,34,1.09135
Illinois,2023,35,1.33377
Illinois,2023,36,1.32216
Illinois,2023,37,1.39395
Illinois,2023,38,1.51239
Illinois,2023,39,1.42596
Illinois,2023,40,1.45023
Illinois,2023,41,1.54895
Illinois,2023,42,1.47107
Illinois,2023,43,1.86722
Illinois,2023,44,2.04917
Illinois,2023,45,2.39206
Illinois,2023,46,2.72674
Illinois,2023,47,2.92898
Illinois,2023,48,3.02016
Illinois,2023,49,3.08839
Illinois,2023,50,3.23246
Illinois,2023,51,3.75206
Illinois,2023,52,4.16588
